address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Julius Bloms Gade 29, 3. TV2200 København N",vn N,2.400.000,21-01-2017,Fam. Salg,41.379,2,Lejlighed,58,1904,,Aktuel værdi
"Ole Jørgensens Gade 8, 1. TH2200 København N",vn N,2.050.000,20-01-2017,Alm. Salg,36.607,2,Lejlighed,56,1901,-2 %,Aktuel værdi
"Bjelkes Allé 4, 4. 12200 København N",vn N,1.850.000,20-01-2017,Alm. Salg,36.274,1,Lejlighed,51,1970,-4 %,Aktuel værdi
"Dagmarsgade 38, ST2200 København N",vn N,2.150.000,20-01-2017,Alm. Salg,31.159,2,Lejlighed,69,1903,-6 %,Aktuel værdi
"Sandbjerggade 48, 3. TH2200 København N",vn N,2.065.000,20-01-2017,Alm. Salg,39.711,2,Lejlighed,52,1935,-1 %,Aktuel værdi
"Stefansgade 35, 2. TV2200 København N",vn N,3.995.000,19-01-2017,Alm. Salg,47.000,3,Lejlighed,85,1900,0 %,Aktuel værdi
"Rantzausgade 11, 4. 162200 København N",vn N,700.000,19-01-2017,Alm. Salg,14.285,1,Lejlighed,49,1970,,Aktuel værdi
"Julius Bloms Gade 6, 2. TV2200 København N",vn N,2.250.000,19-01-2017,Alm. Salg,19.396,4,Lejlighed,116,1908,,Aktuel værdi
"Ørholmgade 2, 2. TV2200 København N",vn N,2.250.000,18-01-2017,Alm. Salg,42.452,2,Lejlighed,53,1935,0 %,Aktuel værdi
"Bjelkes Allé 34, 1. 252200 København N",vn N,2.445.000,18-01-2017,Alm. Salg,41.440,2,Lejlighed,59,1969,-2 %,Aktuel værdi
"Hamletsgade 24, ST. 12200 København N",vn N,1.325.000,18-01-2017,Alm. Salg,31.547,1,Lejlighed,42,1938,2 %,Aktuel værdi
"Søllerødgade 46, 4. TH2200 København N",vn N,3.800.000,17-01-2017,Alm. Salg,50.000,3,Lejlighed,76,1886,0 %,Aktuel værdi
"Laurids Skaus Gade 7, 4. TV2200 København N",vn N,850.000,16-01-2017,Fam. Salg,16.037,2,Lejlighed,53,1905,,Aktuel værdi
"Jagtvej 51, 5. 32200 København N",vn N,1.195.000,16-01-2017,Alm. Salg,37.343,1,Lejlighed,32,1905,0 %,Aktuel værdi
"Ryesgade 32, 1. TV2200 København N",vn N,3.655.000,16-01-2017,Alm. Salg,41.534,4,Lejlighed,88,1879,-1 %,Aktuel værdi
"Tagensvej 53, 3. TH2200 København N",vn N,2.630.000,16-01-2017,Alm. Salg,39.848,3,Lejlighed,66,1933,,Aktuel værdi
"Husumgade 1, 2. 62200 København N",vn N,2.955.000,15-01-2017,Alm. Salg,39.932,2,Lejlighed,74,1985,0 %,Aktuel værdi
"Dagmarsgade 24, ST. 972200 København N",vn N,1.515.000,13-01-2017,Alm. Salg,26.578,2,Lejlighed,57,1974,-5 %,Aktuel værdi
"Sorgenfrigade 4, 4. TH2200 København N",vn N,2.800.000,13-01-2017,Alm. Salg,45.161,2,Lejlighed,62,1933,0 %,Aktuel værdi
"Egegade 12, 3. TH2200 København N",vn N,1.700.000,12-01-2017,Fam. Salg,32.692,2,Lejlighed,52,1893,,Aktuel værdi
"Rådmandsgade 50A, ST. TH2200 København N",vn N,2.670.000,12-01-2017,Alm. Salg,39.264,3,Lejlighed,68,1933,-1 %,Aktuel værdi
"Sankt Hans Gade 4, 3. TV2200 København N",vn N,5.500.000,12-01-2017,Alm. Salg,58.510,4,Lejlighed,94,1893,-2 %,Aktuel værdi
"Dagmarsgade 17, 2. 3012200 København N",vn N,1.725.000,12-01-2017,Alm. Salg,36.702,2,Lejlighed,47,1974,-1 %,Aktuel værdi
"Gormsgade 10, 2. 702200 København N",vn N,3.200.000,11-01-2017,Alm. Salg,37.647,3,Lejlighed,85,1965,-1 %,Aktuel værdi
"Heinesgade 13, 3. TV2200 København N",vn N,2.417.000,11-01-2017,Alm. Salg,42.403,2,Lejlighed,57,1903,1 %,Aktuel værdi
"Peter Fabers Gade 38, 4. TH2200 København N",vn N,1.207.500,11-01-2017,Fam. Salg,27.443,2,Lejlighed,44,1883,,Aktuel værdi
"Husumgade 1, 4. 52200 København N",vn N,1.648.000,10-01-2017,Alm. Salg,35.826,1,Lejlighed,46,1985,0 %,Aktuel værdi
"Bregnerødgade 19, ST. TH2200 København N",vn N,2.623.000,10-01-2017,Alm. Salg,39.149,3,Lejlighed,67,1930,-1 %,Aktuel værdi
"Nørrebrogade 183, 5. TV2200 København N",vn N,50.000,10-01-2017,Alm. Salg,253,4,Lejlighed,197,1904,,Aktuel værdi
"Fredensborggade 10, 1. TH2200 København N",vn N,900.000,09-01-2017,Fam. Salg,15.517,2,Lejlighed,58,1897,,Aktuel værdi
"Sorgenfrigade 7, ST. TV2200 København N",vn N,2.295.000,08-01-2017,Alm. Salg,37.016,2,Lejlighed,62,1931,0 %,Aktuel værdi
"Rådmandsgade 40B, 1. TV2200 København N",vn N,1.110.000,07-01-2017,Fam. Salg,19.821,2,Lejlighed,56,1899,,Aktuel værdi
"Ahornsgade 25, 3. TV2200 København N",vn N,3.599.000,07-01-2017,Alm. Salg,50.690,2,Lejlighed,71,1889,0 %,Aktuel værdi
"Rådmandsgade 44, 1. TV2200 København N",vn N,2.750.000,06-01-2017,Alm. Salg,32.352,3,Lejlighed,85,1933,-2 %,Aktuel værdi
"Slejpnersgade 8, 2. TV2200 København N",vn N,1.995.000,06-01-2017,Alm. Salg,36.272,2,Lejlighed,55,1938,0 %,Aktuel værdi
"Sandbjerggade 40, 3. TH2200 København N",vn N,1.100.000,06-01-2017,Fam. Salg,20.754,2,Lejlighed,53,1935,,Aktuel værdi
"Dagmarsgade 32, 1. 332200 København N",vn N,1.620.000,06-01-2017,Alm. Salg,32.400,2,Lejlighed,50,1974,-2 %,Aktuel værdi
"Dagmarsgade 17, 1. 2022200 København N",vn N,1.935.000,06-01-2017,Alm. Salg,31.209,2,Lejlighed,62,1974,-3 %,Aktuel værdi
"Dagmarsgade 34, 4. 262200 København N",vn N,1.700.000,06-01-2017,Alm. Salg,34.000,1,Lejlighed,50,1974,-5 %,Aktuel værdi
"Rantzausgade 11, 5. 212200 København N",vn N,1.585.000,05-01-2017,Alm. Salg,32.346,1,Lejlighed,49,1970,-1 %,Aktuel værdi
"Haraldsgade 1, 3. TV2200 København N",vn N,1.530.000,05-01-2017,Fam. Salg,15.612,4,Lejlighed,98,1908,,Aktuel værdi
"Hamletsgade 4, 4. 1982200 København N",vn N,1.458.000,05-01-2017,Alm. Salg,25.137,2,Lejlighed,58,1975,1 %,Aktuel værdi
"Tagensvej 47, 1. 22200 København N",vn N,1.160.000,04-01-2017,Alm. Salg,26.976,1,Lejlighed,43,1966,-7 %,Aktuel værdi
"Tagensvej 47, 1. 42200 København N",vn N,1.495.000,03-01-2017,Alm. Salg,34.767,2,Lejlighed,43,1966,-2 %,Aktuel værdi
"Tagensvej 47, 5. 332200 København N",vn N,950.000,03-01-2017,Fam. Salg,13.194,3,Lejlighed,72,1966,,Aktuel værdi
"Birkegade 15B, 3. TH2200 København N",vn N,2.800.000,03-01-2017,Alm. Salg,50.000,2,Lejlighed,56,1892,0 %,Aktuel værdi
"Dagmarsgade 28, ST. 572200 København N",vn N,1.495.000,03-01-2017,Alm. Salg,28.750,1,Lejlighed,52,1974,0 %,Aktuel værdi
"Dagmarsgade 32, 2. 342200 København N",vn N,1.625.000,03-01-2017,Alm. Salg,32.500,2,Lejlighed,50,1974,-1 %,Aktuel værdi
"Hamletsgade 4, 3. 1882200 København N",vn N,1.625.000,03-01-2017,Alm. Salg,25.000,2,Lejlighed,65,1975,-3 %,Aktuel værdi
"Sorgenfrigade 6, ST. TH2200 København N",vn N,2.270.000,02-01-2017,Alm. Salg,39.824,2,Lejlighed,57,1933,-5 %,Aktuel værdi
"Blågårdsgade 26, 1. 72200 København N",vn N,1.500.000,02-01-2017,Fam. Salg,25.423,1,Lejlighed,59,1972,,Aktuel værdi
"Husumgade 10, 2. TH2200 København N",vn N,3.300.000,02-01-2017,Alm. Salg,38.372,3,Lejlighed,86,1904,-6 %,Aktuel værdi
"Julius Bloms Gade 4, 1. TH2200 København N",vn N,1.440.000,02-01-2017,Alm. Salg,10.827,5,Lejlighed,133,1908,,Aktuel værdi
"Ægirsgade 37, 4. TV2200 København N",vn N,2.200.000,30-12-2016,Alm. Salg,44.000,2,Lejlighed,50,1902,-4 %,Aktuel værdi
"Dagmarsgade 26, ST. 1352200 København N",vn N,1.650.000,30-12-2016,Alm. Salg,32.352,1,Lejlighed,51,1974,0 %,Aktuel værdi
"Nørrebrogade 220, 2. TH2200 København N",vn N,4.325.000,30-12-2016,Alm. Salg,31.801,4,Lejlighed,136,1905,-4 %,Aktuel værdi
"Ørholmgade 4, 1. TH2200 København N",vn N,373.750,29-12-2016,Alm. Salg,7.051,2,Lejlighed,53,1935,,Aktuel værdi
"Heinesgade 13, 4. TV2200 København N",vn N,1.180.000,29-12-2016,Fam. Salg,20.701,2,Lejlighed,57,1903,,Aktuel værdi
"Slejpnersgade 8, ST. TV2200 København N",vn N,1.875.000,28-12-2016,Alm. Salg,34.090,2,Lejlighed,55,1938,-1 %,Aktuel værdi
"Sorgenfrigade 11, 1. TV2200 København N",vn N,2.425.000,27-12-2016,Alm. Salg,44.090,2,Lejlighed,55,1932,-3 %,Aktuel værdi
"Holtegade 10, 4. TH2200 København N",vn N,2.410.000,27-12-2016,Alm. Salg,29.390,2,Lejlighed,82,1932,,Aktuel værdi
"Guldbergsgade 12, 1. TH2200 København N",vn N,3.475.000,23-12-2016,Alm. Salg,43.987,3,Lejlighed,79,1889,-2 %,Aktuel værdi
"Thyrasgade 4, ST. 1042200 København N",vn N,1.845.000,23-12-2016,Alm. Salg,30.750,2,Lejlighed,60,1974,0 %,Aktuel værdi
"Rådmandsgade 42B, 2. TV2200 København N",vn N,1.104.000,22-12-2016,Fam. Salg,20.072,2,Lejlighed,55,1933,,Aktuel værdi
"Hillerødgade 15, 2. TV2200 København N",vn N,1.795.000,22-12-2016,Alm. Salg,31.491,2,Lejlighed,57,1935,0 %,Aktuel værdi
"Wesselsgade 3, 1. TV2200 København N",vn N,1.538.000,22-12-2016,Alm. Salg,29.018,2,Lejlighed,53,1885,,Aktuel værdi
"Ægirsgade 18, 1. TH2200 København N",vn N,2.825.000,22-12-2016,Alm. Salg,43.461,2,Lejlighed,65,1903,1 %,Aktuel værdi
"Dagmarsgade 26, 4. 1752200 København N",vn N,1.600.000,22-12-2016,Alm. Salg,31.372,2,Lejlighed,51,1974,-6 %,Aktuel værdi
"Sigynsgade 52, 2. TH2200 København N",vn N,2.400.000,22-12-2016,Alm. Salg,30.379,3,Lejlighed,79,1991,-2 %,Aktuel værdi
"Søllerødgade 22, 3. TH2200 København N",vn N,3.095.000,21-12-2016,Alm. Salg,42.986,3,Lejlighed,72,1903,0 %,Aktuel værdi
"Jagtvej 145, 4. 22200 København N",vn N,2.850.000,21-12-2016,Alm. Salg,39.583,3,Lejlighed,72,1978,-2 %,Aktuel værdi
"Ørholmgade 2, 3. TV2200 København N",vn N,816.000,20-12-2016,Fam. Salg,15.396,2,Lejlighed,53,1935,,Aktuel værdi
"Vævergade 5, 4. TV2200 København N",vn N,3.630.000,20-12-2016,Alm. Salg,50.416,3,Lejlighed,72,1881,-2 %,Aktuel værdi
"Bjelkes Allé 12, 1. 62200 København N",vn N,1.475.000,20-12-2016,Alm. Salg,28.365,1,Lejlighed,52,1962,-1 %,Aktuel værdi
"Peter Fabers Gade 36, 3. TV2200 København N",vn N,2.095.000,19-12-2016,Alm. Salg,47.613,2,Lejlighed,44,1883,0 %,Aktuel værdi
"Rantzausgade 11, 2. 22200 København N",vn N,630.000,18-12-2016,Alm. Salg,20.322,1,Lejlighed,31,1970,-8 %,Aktuel værdi
"Thyrasgade 4, 1. 2032200 København N",vn N,2.050.000,18-12-2016,Alm. Salg,34.166,2,Lejlighed,60,1974,0 %,Aktuel værdi
"Nørrebrogade 229, 2. TV2200 København N",vn N,2.170.000,16-12-2016,Alm. Salg,43.400,2,Lejlighed,50,1896,-1 %,Aktuel værdi
"Kronborggade 26, 2. TH2200 København N",vn N,3.637.500,16-12-2016,Alm. Salg,40.416,3,Lejlighed,90,1900,-3 %,Aktuel værdi
"Jagtvej 25, 3. TV2200 København N",vn N,4.200.000,16-12-2016,Alm. Salg,34.426,5,Lejlighed,122,1899,-1 %,Aktuel værdi
"Meinungsgade 14, 2. TH2200 København N",vn N,983.000,15-12-2016,Fam. Salg,18.547,2,Lejlighed,53,1910,,Aktuel værdi
"Lundtoftegade 99, 4. TV2200 København N",vn N,1.975.000,14-12-2016,Alm. Salg,37.980,2,Lejlighed,52,1930,-1 %,Aktuel værdi
"Rådmandsgade 40B, ST. TV2200 København N",vn N,1.825.000,14-12-2016,Alm. Salg,32.589,2,Lejlighed,56,1899,-4 %,Aktuel værdi
"Meinungsgade 14, 1. TH2200 København N",vn N,2.498.000,14-12-2016,Alm. Salg,47.132,2,Lejlighed,53,1910,0 %,Aktuel værdi
"Peter Fabers Gade 45, 3. TH2200 København N",vn N,2.995.000,13-12-2016,Alm. Salg,46.796,2,Lejlighed,64,1895,0 %,Aktuel værdi
"Thyrasgade 4, 2. 3042200 København N",vn N,1.980.000,12-12-2016,Alm. Salg,33.000,2,Lejlighed,60,1974,-5 %,Aktuel værdi
"Rådmandsgade 40C, ST. 782200 København N",vn N,1.575.000,12-12-2016,Alm. Salg,32.812,2,Lejlighed,48,1967,0 %,Aktuel værdi
"Lundtoftegade 93, 1. TH2200 København N",vn N,1.215.000,12-12-2016,Fam. Salg,15.986,3,Lejlighed,76,1930,,Aktuel værdi
"Fogedmarken 2, 1. TH2200 København N",vn N,1.093.000,08-12-2016,Fam. Salg,20.240,2,Lejlighed,54,1933,,Aktuel værdi
"Dagmarsgade 26, 4. 1792200 København N",vn N,187.000,08-12-2016,Fam. Salg,3.666,2,Lejlighed,51,1974,,Aktuel værdi
"Nørrebrogade 217, 3. TV2200 København N",vn N,1.244.000,08-12-2016,Fam. Salg,20.064,3,Lejlighed,62,1901,,Aktuel værdi
"Julius Bloms Gade 6, 1. TV2200 København N",vn N,3.795.000,08-12-2016,Alm. Salg,32.715,4,Lejlighed,116,1908,,Aktuel værdi
"Sankt Hans Gade 4A, ST. TV2200 København N",vn N,2.550.000,07-12-2016,Alm. Salg,44.736,2,Lejlighed,57,1893,-2 %,Aktuel værdi
"Hamletsgade 24, 2. 32200 København N",vn N,680.000,07-12-2016,Fam. Salg,15.111,1,Lejlighed,45,1938,,Aktuel værdi
"Læssøesgade 19, 5. TV2200 København N",vn N,2.650.000,07-12-2016,Alm. Salg,60.227,2,Lejlighed,44,1868,2 %,Aktuel værdi
"Tagensvej 47, 4. 292200 København N",vn N,1.745.000,06-12-2016,Alm. Salg,26.044,2,Lejlighed,67,1966,,Aktuel værdi
"Jagtvej 7, 4. TV2200 København N",vn N,4.000.000,06-12-2016,Alm. Salg,39.603,4,Lejlighed,101,1906,,Aktuel værdi
"Sandbjerggade 56, 3. TV2200 København N",vn N,932.000,04-12-2016,Fam. Salg,18.274,2,Lejlighed,51,1935,,Aktuel værdi
"Dagmarsgade 19, 4. 5152200 København N",vn N,1.220.000,04-12-2016,Fam. Salg,20.677,2,Lejlighed,59,1974,,Aktuel værdi
"Gormsgade 10, ST. 622200 København N",vn N,2.800.000,04-12-2016,Alm. Salg,32.941,3,Lejlighed,85,1965,-7 %,Aktuel værdi
"Nørrebrogade 180A, 3. TV2200 København N",vn N,1.402.500,04-12-2016,Fam. Salg,14.609,4,Lejlighed,96,1905,,Aktuel værdi
"Hiort Lorenzens Gade 4, 4. TV2200 København N",vn N,2.300.000,03-12-2016,Alm. Salg,30.263,3,Lejlighed,76,1905,,Aktuel værdi
"Ægirsgade 34, 1. TH2200 København N",vn N,2.110.000,02-12-2016,Alm. Salg,37.017,2,Lejlighed,57,1903,-4 %,Aktuel værdi
"Bjelkes Allé 11A, 4. TV2200 København N",vn N,1.800.000,02-12-2016,Alm. Salg,39.130,2,Lejlighed,46,1884,0 %,Aktuel værdi
"Nordbanegade 20, ST. TV2200 København N",vn N,816.000,02-12-2016,Fam. Salg,15.111,2,Lejlighed,54,1898,,Aktuel værdi
"Hamletsgade 4, 1. 1472200 København N",vn N,1.745.000,02-12-2016,Alm. Salg,24.577,2,Lejlighed,71,1975,-3 %,Aktuel værdi
"Rådmandsgade 40D, 1. MF2200 København N",vn N,1.855.000,02-12-2016,Alm. Salg,28.984,3,Lejlighed,64,1967,-2 %,Aktuel værdi
"P.D. Løvs Allé 9A, 3. TV2200 København N",vn N,2.315.000,01-12-2016,Alm. Salg,42.870,2,Lejlighed,54,1906,1 %,Aktuel værdi
"Egegade 10, 3. TH2200 København N",vn N,1.147.500,01-12-2016,Fam. Salg,21.250,2,Lejlighed,54,1893,,Aktuel værdi
"Korsgade 24, 12200 København N",vn N,2.885.000,01-12-2016,Alm. Salg,40.069,3,Lejlighed,72,1872,-4 %,Aktuel værdi
"Guldbergsgade 5, 2. 22200 København N",vn N,874.000,01-12-2016,Fam. Salg,18.208,2,Lejlighed,48,1893,,Aktuel værdi
"Korsgade 8, 2. TH2200 København N",vn N,6.200.000,30-11-2016,Alm. Salg,46.616,4,Lejlighed,133,1891,-2 %,Aktuel værdi
"Ågade 98, 2. TH2200 København N",vn N,3.400.000,30-11-2016,Andet,38.636,4,Lejlighed,88,1899,,Aktuel værdi
"Husumgade 18, 4. TV2200 København N",vn N,3.250.000,28-11-2016,Alm. Salg,46.428,3,Lejlighed,70,1901,-7 %,Aktuel værdi
"Ægirsgade 35, ST. TH2200 København N",vn N,943.000,28-11-2016,Fam. Salg,18.490,2,Lejlighed,51,1902,,Aktuel værdi
"Guldbergsgade 11, 2. TH2200 København N",vn N,3.845.000,25-11-2016,Alm. Salg,54.154,3,Lejlighed,71,1885,0 %,Aktuel værdi
"Slejpnersgade 2, 4. TH2200 København N",vn N,2.000.000,25-11-2016,Alm. Salg,35.087,2,Lejlighed,57,1938,-5 %,Aktuel værdi
"Slejpnersgade 10, ST. TH2200 København N",vn N,1.915.000,25-11-2016,Alm. Salg,34.818,2,Lejlighed,55,1938,-4 %,Aktuel værdi
"Rådmandsgade 40C, 2. 1012200 København N",vn N,1.675.000,25-11-2016,Alm. Salg,34.895,2,Lejlighed,48,1967,29 %,Aktuel værdi
"Dagmarsgade 17, 2. 3022200 København N",vn N,1.945.000,25-11-2016,Alm. Salg,31.370,2,Lejlighed,62,1974,3 %,Aktuel værdi
"Solitudevej 6, 4. TH2200 København N",vn N,3.900.000,24-11-2016,Alm. Salg,50.649,3,Lejlighed,77,1892,1 %,Aktuel værdi
"Heimdalsgade 40, 5. TH2200 København N",vn N,2.955.000,24-11-2016,Alm. Salg,34.360,3,Lejlighed,86,1934,2 %,Aktuel værdi
"Thyrasgade 4, ST. 1032200 København N",vn N,1.725.000,24-11-2016,Alm. Salg,28.750,2,Lejlighed,60,1974,-4 %,Aktuel værdi
"Ahlmannsgade 3, 1. TV2200 København N",vn N,2.806.250,23-11-2016,Alm. Salg,39.524,3,Lejlighed,71,1899,-1 %,Aktuel værdi
"Ole Jørgensens Gade 10, 4. TH2200 København N",vn N,2.350.000,21-11-2016,Alm. Salg,42.727,2,Lejlighed,55,1901,-2 %,Aktuel værdi
"Ægirsgade 35, 4. TH2200 København N",vn N,2.125.000,21-11-2016,Alm. Salg,42.500,2,Lejlighed,50,1902,-3 %,Aktuel værdi
"Blågårdsgade 2, 2. TH2200 København N",vn N,5.265.000,21-11-2016,Alm. Salg,43.875,5,Lejlighed,120,1885,-4 %,Aktuel værdi
"Holtegade 4, 1. TH2200 København N",vn N,3.945.000,21-11-2016,Alm. Salg,36.869,4,Lejlighed,107,2005,0 %,Aktuel værdi
"Dagmarsgade 30, 4. 562200 København N",vn N,1.635.000,21-11-2016,Alm. Salg,32.700,1,Lejlighed,50,1974,-4 %,Aktuel værdi
"Guldbergsgade 5, 5. 12200 København N",vn N,1.785.000,21-11-2016,Fam. Salg,21.506,2,Lejlighed,83,1893,,Aktuel værdi
"Ole Jørgensens Gade 5, ST. TH2200 København N",vn N,2.095.000,21-11-2016,Alm. Salg,39.528,2,Lejlighed,53,1901,0 %,Aktuel værdi
"Peter Fabers Gade 18, ST. TV2200 København N",vn N,2.248.000,20-11-2016,Alm. Salg,44.078,2,Lejlighed,51,1893,-4 %,Aktuel værdi
"Dagmarsgade 3A, 42200 København N",vn N,3.998.000,20-11-2016,Alm. Salg,31.234,4,Lejlighed,128,1904,0 %,Aktuel værdi
"Krogerupgade 65, 2. TV2200 København N",vn N,1.899.000,18-11-2016,Alm. Salg,36.519,2,Lejlighed,52,1935,0 %,Aktuel værdi
"Dagmarsgade 24, 4. 1262200 København N",vn N,1.650.000,18-11-2016,Alm. Salg,33.000,1,Lejlighed,50,1974,-3 %,Aktuel værdi
"Sortedam Dossering 41C, 1. TV2200 København N",vn N,2.895.000,18-11-2016,Alm. Salg,49.067,2,Lejlighed,59,1963,0 %,Aktuel værdi
"Fenrisgade 1, 3. TV2200 København N",vn N,1.200.000,17-11-2016,Fam. Salg,15.000,3,Lejlighed,80,1934,,Aktuel værdi
"Vølundsgade 21, 4. TV2200 København N",vn N,1.032.000,17-11-2016,Fam. Salg,17.491,2,Lejlighed,59,1905,,Aktuel værdi
"Egegade 10, 5. TH2200 København N",vn N,2.625.000,17-11-2016,Alm. Salg,48.611,2,Lejlighed,54,1893,-6 %,Aktuel værdi
"Schleppegrellsgade 8, 3. TV2200 København N",vn N,4.700.000,17-11-2016,Alm. Salg,51.648,4,Lejlighed,91,1892,-4 %,Aktuel værdi
"Nordre Fasanvej 240A, ST. TV2200 København N",vn N,2.220.000,17-11-2016,Alm. Salg,33.134,3,Lejlighed,67,1902,1 %,Aktuel værdi
"Lundtoftegade 95, 2. TV2200 København N",vn N,2.600.000,17-11-2016,Alm. Salg,38.805,3,Lejlighed,67,1930,-4 %,Aktuel værdi
"Ydunsgade 1, ST. TV2200 København N",vn N,1.500.000,16-11-2016,Alm. Salg,31.250,2,Lejlighed,48,1901,-3 %,Aktuel værdi
"Bjelkes Allé 11A, 4. TH2200 København N",vn N,943.000,15-11-2016,Fam. Salg,21.431,2,Lejlighed,44,1884,,Aktuel værdi
"Bjelkes Allé 12, 4. 62200 København N",vn N,855.000,15-11-2016,Fam. Salg,16.442,1,Lejlighed,52,1962,,Aktuel værdi
"Peter Fabers Gade 24, 1. TV2200 København N",vn N,2.495.000,15-11-2016,Alm. Salg,50.918,2,Lejlighed,49,1895,0 %,Aktuel værdi
"Dagmarsgade 26, 3. 1672200 København N",vn N,1.565.000,15-11-2016,Alm. Salg,26.982,2,Lejlighed,58,1974,-2 %,Aktuel værdi
"Jagtvej 141, 4. A2200 København N",vn N,1.800.000,15-11-2016,Alm. Salg,26.470,2,Lejlighed,68,1970,-2 %,Aktuel værdi
"Thorsgade 76, 1. TV2200 København N",vn N,2.895.000,15-11-2016,Alm. Salg,36.645,3,Lejlighed,79,1906,0 %,Aktuel værdi
"Dagmarsgade 24, 2. 1112200 København N",vn N,1.749.000,14-11-2016,Alm. Salg,40.674,1,Lejlighed,43,1974,0 %,Aktuel værdi
"Fenrisgade 1, ST. TH2200 København N",vn N,2.325.000,11-11-2016,Alm. Salg,31.418,3,Lejlighed,74,1934,-3 %,Aktuel værdi
"Peter Fabers Gade 45, 4. TH2200 København N",vn N,3.098.000,10-11-2016,Alm. Salg,48.406,3,Lejlighed,64,1895,0 %,Aktuel værdi
"Julius Bloms Gade 1, ST. TV2200 København N",vn N,3.525.000,09-11-2016,Alm. Salg,34.900,4,Lejlighed,101,1905,-2 %,Aktuel værdi
"Lundtoftegade 84, 2. TV2200 København N",vn N,3.215.000,09-11-2016,Alm. Salg,38.273,3,Lejlighed,84,1907,1 %,Aktuel værdi
"Dagmarsgade 28, 3. 832200 København N",vn N,1.800.000,09-11-2016,Alm. Salg,30.508,2,Lejlighed,59,1974,-5 %,Aktuel værdi
"Allersgade 2, 2. TH2200 København N",vn N,2.200.000,09-11-2016,Alm. Salg,33.333,2,Lejlighed,66,1990,-4 %,Aktuel værdi
"Esromgade 8, 2. TV2200 København N",vn N,1.300.000,09-11-2016,Alm. Salg,24.528,2,Lejlighed,53,1902,,Aktuel værdi
"Rådmandsgade 40D, 3. TV2200 København N",vn N,1.300.000,09-11-2016,Alm. Salg,28.888,1,Lejlighed,45,1967,-7 %,Aktuel værdi
"Florsgade 1, 2. TH2200 København N",vn N,1.850.000,08-11-2016,Alm. Salg,35.576,2,Lejlighed,52,1904,,Aktuel værdi
"Fælledvej 27, 32200 København N",vn N,2.950.000,08-11-2016,Fam. Salg,15.445,7,Lejlighed,191,1884,,Aktuel værdi
"Rådmandsgade 40C, 4. 1192200 København N",vn N,1.395.000,08-11-2016,Alm. Salg,31.704,1,Lejlighed,44,1967,-3 %,Aktuel værdi
"Peter Fabers Gade 20, 2. TV2200 København N",vn N,2.600.000,07-11-2016,Alm. Salg,52.000,2,Lejlighed,50,1893,0 %,Aktuel værdi
"Poppelgade 8, 5. TV2200 København N",vn N,1.380.000,06-11-2016,Alm. Salg,27.600,2,Lejlighed,50,1889,,Aktuel værdi
"Tagensvej 75, 2. TH2200 København N",vn N,1.540.000,06-11-2016,Fam. Salg,19.012,3,Lejlighed,81,1902,,Aktuel værdi
"Fredensborggade 10, 1. TV2200 København N",vn N,1.995.000,06-11-2016,Alm. Salg,35.625,2,Lejlighed,56,1897,0 %,Aktuel værdi
"Søllerødgade 35, 1. TV2200 København N",vn N,892.500,04-11-2016,Fam. Salg,16.527,2,Lejlighed,54,1903,,Aktuel værdi
"Ravnsborg Tværgade 2, 42200 København N",vn N,3.050.000,04-11-2016,Fam. Salg,26.293,3,Lejlighed,116,1869,,Aktuel værdi
"Dagmarsgade 26, 1. 1492200 København N",vn N,1.850.000,04-11-2016,Alm. Salg,36.274,2,Lejlighed,51,1974,0 %,Aktuel værdi
"Tagensvej 47, 3. 182200 København N",vn N,1.300.000,04-11-2016,Alm. Salg,30.232,1,Lejlighed,43,1966,0 %,Aktuel værdi
"Hamletsgade 20, ST. TH2200 København N",vn N,1.285.000,03-11-2016,Fam. Salg,14.770,4,Lejlighed,87,1949,,Aktuel værdi
"Uffesgade 8, 2. TV2200 København N",vn N,3.112.000,03-11-2016,Alm. Salg,40.415,4,Lejlighed,77,1901,4 %,Aktuel værdi
"Blegdamsvej 24, ST2200 København N",vn N,3.795.000,03-11-2016,Alm. Salg,37.950,3,Lejlighed,100,1875,-5 %,Aktuel værdi
"Tagensvej 53, 3. TV2200 København N",vn N,2.850.000,03-11-2016,Alm. Salg,43.181,3,Lejlighed,66,1933,2 %,Aktuel værdi
"Sandbjerggade 48, 1. TH2200 København N",vn N,2.145.000,03-11-2016,Alm. Salg,41.250,2,Lejlighed,52,1935,-2 %,Aktuel værdi
"Sandbjerggade 44, ST. TH2200 København N",vn N,1.602.492,02-11-2016,Alm. Salg,30.235,2,Lejlighed,53,1935,-5 %,Aktuel værdi
"Åboulevard 34B, ST. TV2200 København N",vn N,1.695.000,01-11-2016,Alm. Salg,40.357,2,Lejlighed,42,1885,-3 %,Aktuel værdi
"Åboulevard 34E, ST. TV2200 København N",vn N,1.695.000,01-11-2016,Alm. Salg,39.418,2,Lejlighed,43,1885,0 %,Aktuel værdi
"Ahornsgade 19, 22200 København N",vn N,4.200.000,01-11-2016,Alm. Salg,36.842,3,Lejlighed,114,1886,,Aktuel værdi
"Holtegade 10, ST. TH2200 København N",vn N,1.250.000,31-10-2016,Alm. Salg,29.761,1,Lejlighed,42,1932,-3 %,Aktuel værdi
